#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,position,sampling_rate
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-01T19:18:47.683Z,62.06352254460584,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-01T22:10:47.684Z,80.43357234159907,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-02T01:02:47.685Z,73.32780571635804,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-02T03:54:47.686Z,81.07288923157479,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-02T06:46:47.687Z,74.11106417328911,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-02T09:38:47.688Z,85.4030957203792,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-02T12:30:47.689Z,79.59902447874082,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-02T15:22:47.69Z,85.79734927071625,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-02T18:14:47.691Z,85.10176872240056,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-02T21:06:47.692Z,67.12625156801758,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-02T23:58:47.693Z,84.55581484817705,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-03T02:50:47.694Z,78.84796994743816,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-03T05:42:47.695Z,78.67048376573787,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-03T08:34:47.696Z,81.3954787583608,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-03T11:26:47.697Z,75.08737554511548,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-03T14:18:47.698Z,79.62026992264775,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-03T17:10:47.699Z,85.87869509419757,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-03T20:02:47.7Z,82.51788085068661,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-03T22:54:47.701Z,68.51886992519343,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-04T01:46:47.702Z,74.48208119779746,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-04T04:38:47.703Z,73.00334116829153,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-04T07:30:47.704Z,87.14917209919126,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-04T10:22:47.705Z,77.04352072000803,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-04T13:14:47.706Z,81.58212354528732,sensors_mean,light_tracking,ESP32_1,balcony,5000
,,0,2024-11-01T18:03:13Z,2024-12-14T18:03:13.439Z,2024-11-04T16:06:47.707Z,72.21801916520542,sensors_mean,light_tracking,ESP32_1,balcony,5000
